practice_label,all_labels,n_observations,slug,filename,practice_family,image_prompt
Feed Substitution,Feed Substitution,3,feed-substitution,feed-substitution.webp,Livestock production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Substituting improved forage for livestock feed. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Rotation-Inorganic Fertilizer,Crop Rotation-Inorganic Fertilizer,3,crop-rotation-inorganic-fertilizer,crop-rotation-inorganic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Adjacent plots showing a cereal and legume crop rotation and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Rotation-Inorganic Fertilizer-Organic Fertilizer,Crop Rotation-Inorganic Fertilizer-Organic Fertilizer,3,crop-rotation-inorganic-fertilizer-organic-fertilizer,crop-rotation-inorganic-fertilizer-organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Adjacent plots showing a cereal and legume crop rotation and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Other Agroforestry-Reduced Tillage,Other Agroforestry-Reduced Tillage,2,other-agroforestry-reduced-tillage,other-agroforestry-reduced-tillage.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Trees integrated with crops in an agroforestry field and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch-Other Agroforestry-Reduced Tillage,Mulch-Other Agroforestry-Reduced Tillage,2,mulch-other-agroforestry-reduced-tillage,mulch-other-agroforestry-reduced-tillage.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants and trees integrated with crops in an agroforestry field and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Intercropping or Rotation,Improved Varieties-Intercropping or Rotation,2,improved-varieties-intercropping-or-rotation,improved-varieties-intercropping-or-rotation.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and a field practising intercropping and rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Inorganic Fertilizer-Intercropping or Rotation,Improved Varieties-Inorganic Fertilizer-Intercropping or Rotation,2,improved-varieties-inorganic-fertilizer-intercropping-or-rotation,improved-varieties-inorganic-fertilizer-intercropping-or-rotation.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a field practising intercropping and rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Intercropping,Alleycropping-Intercropping,2,alleycropping-intercropping,alleycropping-intercropping.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Improved Varieties-Intercropping,Alleycropping-Improved Varieties-Intercropping,2,alleycropping-improved-varieties-intercropping,alleycropping-improved-varieties-intercropping.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and a vigorous, healthy improved crop variety standing in the field and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Mulch-Reduced Tillage,Inorganic Fertilizer-Mulch-Reduced Tillage,2,inorganic-fertilizer-mulch-reduced-tillage,inorganic-fertilizer-mulch-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and soil surface covered with golden straw mulch around the plants and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Feed Addition-Feed Processing,Feed Addition-Feed Processing,2,feed-addition-feed-processing,feed-addition-feed-processing.webp,Livestock production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Supplementing livestock with concentrate feed and chopping and processing livestock fodder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Agroforestry Fallow,Agroforestry Fallow,2,agroforestry-fallow,agroforestry-fallow.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. An improved agroforestry fallow with young trees. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Reduced Tillage-Water Harvesting,Inorganic Fertilizer-Reduced Tillage-Water Harvesting,2,inorganic-fertilizer-reduced-tillage-water-harvesting,inorganic-fertilizer-reduced-tillage-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a minimum-tillage field with crop residue left on the surface and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Crop Rotation,Alleycropping-Crop Rotation,2,alleycropping-crop-rotation,alleycropping-crop-rotation.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and adjacent plots showing a cereal and legume crop rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Crop Rotation-Improved Varieties,Alleycropping-Crop Rotation-Improved Varieties,2,alleycropping-crop-rotation-improved-varieties,alleycropping-crop-rotation-improved-varieties.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and adjacent plots showing a cereal and legume crop rotation and a vigorous, healthy improved crop variety standing in the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
pH Control-Water Harvesting,pH Control-Water Harvesting,2,ph-control-water-harvesting,ph-control-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Liming acidic soil with white lime powder and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Residue Incorporation-Crop Rotation,Crop Residue Incorporation-Crop Rotation,2,crop-residue-incorporation-crop-rotation,crop-residue-incorporation-crop-rotation.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Ploughing crop residues back into the soil and adjacent plots showing a cereal and legume crop rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Mulch-Organic Fertilizer-Reduced Tillage,Inorganic Fertilizer-Mulch-Organic Fertilizer-Reduced Tillage,2,inorganic-fertilizer-mulch-organic-fertilizer-reduced-tillage,inorganic-fertilizer-mulch-organic-fertilizer-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and soil surface covered with golden straw mulch around the plants and spreading well-rotted organic manure over the field and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Inorganic Fertilizer-Intercropping,Alleycropping-Inorganic Fertilizer-Intercropping,1,alleycropping-inorganic-fertilizer-intercropping,alleycropping-inorganic-fertilizer-intercropping.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Crop Rotation-Improved Varieties-Inorganic Fertilizer,Alleycropping-Crop Rotation-Improved Varieties-Inorganic Fertilizer,1,alleycropping-crop-rotation-improved-varieties-inorganic-fertilizer,alleycropping-crop-rotation-improved-varieties-inorganic-fertilizer.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and adjacent plots showing a cereal and legume crop rotation and a vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Inorganic Fertilizer,Alleycropping-Inorganic Fertilizer,1,alleycropping-inorganic-fertilizer,alleycropping-inorganic-fertilizer.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping-Improved Varieties-Inorganic Fertilizer-Intercropping,Alleycropping-Improved Varieties-Inorganic Fertilizer-Intercropping,1,alleycropping-improved-varieties-inorganic-fertilizer-intercropping,alleycropping-improved-varieties-inorganic-fertilizer-intercropping.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips and a vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,1,improved-varieties-inorganic-fertilizer-reduced-tillage,improved-varieties-inorganic-fertilizer-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Water Harvesting,Improved Varieties-Water Harvesting,1,improved-varieties-water-harvesting,improved-varieties-water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch-Organic Fertilizer-Reduced Tillage,Mulch-Organic Fertilizer-Reduced Tillage,1,mulch-organic-fertilizer-reduced-tillage,mulch-organic-fertilizer-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants and spreading well-rotted organic manure over the field and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
